iter	Passed	Remaining
0	1	126
1	2	110
2	3	119
3	4	110
4	5	109
5	7	111
6	8	107
7	9	105
8	10	104
9	11	101
10	12	99
11	13	98
12	14	96
13	15	95
14	16	93
15	17	92
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	83
22	24	82
23	25	81
24	26	80
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	46	57
45	47	56
46	48	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	37
64	67	36
65	68	35
66	69	34
67	69	32
68	70	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
