iter	Passed	Remaining
0	192	192712
1	194	97026
2	195	64970
3	196	48903
4	197	39291
5	198	32881
6	199	28294
7	200	24876
8	201	22203
9	202	20059
10	203	18306
11	204	16840
12	205	15601
13	206	14545
14	207	13627
15	208	12834
16	209	12129
17	210	11496
18	211	10930
19	212	10421
20	213	9960
21	214	9542
22	215	9163
23	216	8816
24	217	8490
25	218	8191
26	219	7913
27	220	7655
28	221	7416
29	222	7194
30	223	6998
31	224	6804
32	225	6622
33	227	6449
34	228	6286
35	228	6132
36	229	5984
37	230	5845
38	231	5714
39	232	5588
40	233	5471
41	235	5361
42	236	5259
43	237	5158
44	238	5068
45	239	4976
46	240	4886
47	241	4798
48	242	4715
49	244	4638
50	245	4563
51	246	4489
52	247	4417
53	248	4348
54	249	4281
55	250	4219
56	251	4159
57	252	4099
58	253	4043
59	254	3987
60	255	3933
61	256	3881
62	257	3831
63	258	3780
64	259	3734
65	260	3686
66	261	3641
67	262	3597
68	263	3554
69	264	3511
70	265	3471
71	266	3432
72	267	3397
73	268	3362
74	274	3391
75	276	3357
76	277	3322
77	278	3289
78	279	3259
79	280	3229
80	282	3203
81	283	3174
82	284	3139
83	285	3112
84	286	3085
85	287	3059
86	289	3035
87	290	3010
88	291	2986
89	293	2963
90	294	2940
91	295	2916
92	296	2894
93	298	2872
94	299	2850
95	300	2830
96	302	2819
97	303	2797
98	305	2776
99	305	2753
100	306	2731
101	308	2714
102	309	2694
103	310	2673
104	311	2654
105	312	2634
106	313	2615
107	314	2595
108	315	2577
109	316	2564
110	318	2546
111	319	2529
112	320	2512
113	320	2494
114	321	2476
115	322	2460
116	323	2444
117	324	2428
118	326	2413
119	327	2398
120	328	2383
121	329	2368
122	330	2354
123	331	2339
124	332	2325
125	333	2312
126	334	2297
127	335	2283
128	336	2269
129	337	2255
130	337	2242
131	339	2229
132	339	2215
133	340	2203
134	341	2190
135	342	2178
136	343	2166
137	344	2153
138	345	2141
139	346	2130
140	347	2118
141	348	2105
142	349	2094
143	350	2082
144	351	2071
145	352	2060
146	353	2050
147	354	2039
148	355	2028
149	356	2019
150	357	2008
151	358	1998
152	359	1988
153	360	1978
154	361	1968
155	362	1959
156	363	1949
157	364	1940
158	365	1930
159	366	1922
160	366	1911
161	367	1903
162	368	1894
163	369	1885
164	370	1876
165	371	1868
166	372	1859
167	373	1851
168	374	1842
169	375	1835
170	376	1827
171	377	1819
172	378	1811
173	379	1803
174	380	1795
175	381	1788
176	383	1780
